,Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots),price_increase,price_increase_percentage
0,05 Nov 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,118679.0,119847.0,118679.0,119598.0,118780.0,167,16.700 GRMS ,1993.42,461,919.0,0.77
1,04 Nov 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,119613.0,120114.0,118311.0,118780.0,120130.0,1571,157.100 GRMS ,18813.35,1952,-833.0,-0.7
2,03 Nov 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,120390.0,120829.0,119951.0,120130.0,119728.0,6234,623.400 GRMS ,75068.07,11969,-260.0,-0.22
3,31 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,119990.0,120995.0,119270.0,119728.0,120251.0,20026,2002.600 GRMS ,240900.51,15361,-262.0,-0.22
4,30 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,117566.0,120499.0,117376.0,120251.0,119424.0,35582,3558.200 GRMS ,424706.82,19197,2685.0,2.28
5,29 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,117031.0,120730.0,117031.0,119424.0,118699.0,61325,6132.500 GRMS ,734758.85,21491,2393.0,2.04
6,28 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,118900.0,119500.0,116606.0,118699.0,120002.0,55062,5506.200 GRMS ,648989.31,21454,-201.0,-0.17
7,27 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,121759.0,121899.0,119270.0,120002.0,122549.0,69968,6996.800 GRMS ,843746.78,25136,-1757.0,-1.44
8,24 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,122956.0,123258.0,120672.0,122549.0,123305.0,63689,6368.900 GRMS ,777697.17,26176,-407.0,-0.33
9,23 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,121360.0,123770.0,121360.0,123305.0,121069.0,53574,5357.400 GRMS ,657733.89,28100,1945.0,1.6
10,22 Oct 2025,FUTCOM,GOLDM        ,05NOV2025,-,0.0,126100.0,126100.0,119753.0,121069.0,127365.0,69875,6987.500 GRMS ,843340.74,29818,-5031.0,-3.99
